"","year","month","week","yday","date","depth","dist","latdd","londd","numPkm2","Lon.km","Lat.km","year_f","scale_depth","scale_dist2shore","rownum"
"81",1999,"June",25,173,1999-06-22,53.0352,3.704,45.01786804,-124.0738831,0,415.38789074084,4985.49621278551,"1999",-0.520462543485409,-1.39069164206703,81
"82",1999,"June",25,174,1999-06-23,78.6384,18.52,44.64335632,-124.2794037,0,398.539709766009,4944.12912231833,"1999",-0.303479878869436,-0.524205268091862,82
"83",1999,"June",25,174,1999-06-23,58.5216,9.26,44.64520264,-124.1761093,0,406.734220045192,4944.21084910871,"1999",-0.473966258210558,-1.06575925182634,83
"84",1999,"June",25,174,1999-06-23,87.7824,27.78,44.63115692,-124.3973389,0,389.163868541021,4942.92754781061,"1999",-0.225986070078017,0.0173487156426204,84
"85",1999,"June",25,174,1999-06-23,137.16,37.04,44.65019226,-124.5172729,0,379.690094548021,4945.21203625794,"1999",0.192480497395644,0.558902699377102,85
"86",1999,"June",25,175,1999-06-24,84.1248,12.964,45.71215057,-124.1067581,0,413.857979205804,5062.66186056166,"1999",-0.256983593594585,-0.849137658332551,86
"87",1999,"June",25,175,1999-06-24,27.432,1.852,45.70901489,-123.9726563,0,424.291231533006,5062.17788727253,"1999",-0.737445208101382,-1.49900243881393,87
"88",1999,"June",25,175,1999-06-24,58.5216,5.556,45.7026062,-124.0266418,0,420.080032993618,5061.51836113931,"1999",-0.473966258210558,-1.28238084532014,88
"89",1999,"June",25,175,1999-06-24,113.3856,18.52,45.71071625,-124.1796494,0,408.182318505482,5062.58354900842,"1999",-0.00900340546204466,-0.524205268091862,89
"90",1999,"June",25,175,1999-06-24,146.304,27.78,45.70814133,-124.2944794,0,399.239964216311,5062.43563031559,"1999",0.269974306187063,0.0173487156426204,90
"91",1999,"May",20,138,1999-05-18,32.9184,7.408,47.90299988,-124.7425842,0,369.769574411592,5306.98885248197,"1999",-0.69094892282653,-1.17407004857324,91
"92",1999,"May",20,138,1999-05-18,54.864,11.112,47.8932724,-124.7872238,0,366.408553199145,5305.98402846212,"1999",-0.504963781727125,-0.957448455079447,92
"93",1999,"May",20,138,1999-05-18,82.296,16.668,47.89208984,-124.8781357,0,359.610108034874,5306.01391151767,"1999",-0.272482355352869,-0.632516064838758,93
"94",1999,"May",20,138,1999-05-18,107.8992,22.224,47.90926361,-124.952179,0,354.123881634796,5308.05985679459,"1999",-0.055499690736896,-0.307583674598069,94
"95",1999,"May",20,138,1999-05-18,142.6464,31.484,47.8917923,-125.0857697,0,344.089306362967,5306.37929028945,"1999",0.238976782670496,0.233970309136413,95
"96",1999,"May",20,138,1999-05-18,82.296,16.668,47.89684296,-124.8733673,0,359.979350170367,5306.53350328471,"1999",-0.272482355352869,-0.632516064838758,96
"97",1999,"May",20,138,1999-05-18,51.2064,11.112,47.90984344,-124.799469,0,365.536210482251,5307.84696893578,"1999",-0.535961305243693,-0.957448455079447,97
"98",1999,"May",20,139,1999-05-19,84.1248,29.632,46.97286606,-124.5592499,0,381.398115747223,5203.32871312336,"1999",-0.256983593594585,0.125659512389517,98
"99",1999,"May",20,139,1999-05-19,159.1056,48.152,46.98717499,-124.8141785,0,362.044602473713,5205.33616641675,"1999",0.37846563849505,1.20876747985848,99
"100",1999,"May",20,139,1999-05-19,113.3856,38.892,46.97994995,-124.6902618,0.937162038,371.450072238383,5204.32252521155,"1999",-0.00900340546204466,0.667213496123999,100
"101",1999,"May",20,139,1999-05-19,82.296,29.632,46.98016739,-124.555954,2.637644755,381.664921005815,5204.13507652707,"1999",-0.272482355352869,0.125659512389517,101
